"Height","Weight","Music","Slow.songs.or.fast.songs","Dance","Folk","Country","Classical.music","Musical","Pop","Rock","Metal.or.Hardrock","Punk","Hiphop..Rap","Reggae..Ska","Swing..Jazz","Rock.n.roll","Alternative","Latino","Techno..Trance","Opera","Movies","Horror","Thriller","Comedy","Romantic","Sci.fi","War","Fantasy.Fairy.tales","Animated","Documentary","Western","Cars","Passive.sport","Active.sport","Gardening","Shopping","Science.and.technology","Theatre","Fun.with.friends","Flying","Storm","Darkness","Heights","Spiders","Snakes","Rats","Ageing","Dangerous.dogs","Fear.of.public.speaking","Age","Number.of.siblings"
163,48,5,3,2,1,2,2,1,5,5,1,1,1,1,1,3,1,1,1,1,5,4,2,5,4,4,1,5,5,3,1,1,1,5,5,4,4,2,5,1,1,1,1,1,5,3,1,3,2,20,1
163,58,4,4,2,1,1,1,2,3,5,4,4,1,3,1,4,4,2,1,1,5,2,2,4,3,4,1,3,5,4,1,2,1,1,1,3,3,2,4,1,1,1,2,1,1,1,3,1,4,19,2
176,67,5,5,2,2,3,4,5,3,5,3,4,1,4,3,5,5,5,1,3,5,3,4,4,2,4,2,5,5,2,2,1,5,2,1,4,2,5,5,1,1,1,1,1,1,1,1,1,2,20,2
172,59,5,3,2,1,1,1,1,2,2,1,4,2,2,1,2,5,1,2,1,5,4,4,3,3,4,3,1,2,5,1,1,1,1,1,4,3,1,2,2,1,1,3,5,5,5,4,5,5,22,1
170,59,5,3,4,3,2,4,3,5,3,1,2,5,3,2,1,2,4,2,2,5,4,4,5,2,3,3,4,4,3,1,3,3,1,4,3,3,2,4,1,2,1,1,1,1,2,2,4,3,20,1
186,77,5,3,2,3,2,3,3,2,5,5,3,4,3,4,4,5,3,1,3,5,5,5,5,2,3,3,4,3,3,2,5,5,4,2,2,3,1,3,3,2,2,2,1,2,2,1,1,3,20,1
177,50,5,5,5,3,1,2,2,5,3,1,1,3,1,1,2,3,3,5,2,4,2,1,5,3,1,3,5,5,3,1,4,5,3,3,3,4,3,5,1,3,2,1,1,5,1,4,1,1,20,1
184,90,5,3,3,2,1,2,2,4,5,1,2,3,2,2,3,1,2,3,2,5,4,4,5,2,3,3,4,4,3,1,1,4,5,1,3,2,2,4,3,2,4,3,1,5,3,1,2,4,19,1
166,55,5,3,3,1,1,2,4,3,5,5,1,1,2,2,2,3,1,1,1,5,1,5,5,4,4,5,4,4,5,1,1,4,1,1,2,1,5,4,2,3,1,5,5,5,2,2,3,4,18,1
174,60,5,3,2,5,2,2,5,3,5,2,3,2,4,4,4,4,5,1,2,5,2,1,5,5,1,3,4,4,4,1,1,4,4,1,4,3,5,5,4,5,4,5,3,4,4,3,5,3,19,3
